12440	33496.233-6808.8824i
12472	31720.485-3130.3526i
12504	28758.905-8039.2021i
12536	30188.605+51.98611i
12568	25035.617-1769.4934i
12600	27134.496+3338.5763i
12632	30850.269-746.24416i
12664	33410.848-1389.3748i
12696	37808.31-3903.9659i
12728	39341.913+1542.0791i
12760	41642.053+6769.9168i
12792	41923.27-894.69288i
12824	48571.166+545.58303i
12856	51847.242+3809.0471i
12888	60924.77+2319.7169i
12920	67016.894+2892.3021i
12952	62509.713+2470.226i
12984	69321.031+2298.3884i
13016	77212.145-305.89906i
13048	75951.381-1206.5108i
13080	78300.778+2906.9505i
13112	71728.194-1828.3058i
13144	75765.561+5139.6342i
13176	75647.424+1242.92i
13208	75601.898-1211.2702i
13240	72654.992+252.23899i
13272	70257.893-4051.3948i
13304	60253.957-3930.7268i
13336	58811.971-4563.7418i
13368	51338.517-1160.7951i
13400	48798.979+411.09938i
13432	46896.284+1815.0285i
13464	29887.572-3959.2272i
13496	29238.747+428.76915i
13528	35919.549+2724.7595i
13560	23639.826+3186.4216i
13592	19502.213+996.66539i
13624	25864.335-1395.9124i
13656	24706.636+3188.706i
13688	24116.479+1237.5844i
13720	22065.221-1762.1862i
13752	22490.546+2914.7234i
13784	23684.283-6193.3585i
13816	26412.541+1311.413i
13848	23289.855+97.725613i
13880	22948.435-1081.4762i
13912	30171.864-1615.2501i
13944	30910.982+4276.607i
13976	32394.913+3698.5062i
14008	34433.309+27.7022i
14040	41568.007+2099.0987i
14072	45094.401-813.803i
14104	48656.573+5687.5316i
14136	50930.963+1553.6727i
14168	58096.575+5148.583i
14200	52113.267+8922.9332i
14232	56068.865+2775.4212i
14264	57724.889+2113.9373i
14296	64983.557-370.35022i
14328	63241.221+3216.5901i
14360	59341.301-2630.4537i
14392	53241.429+232.81413i
14424	43932.123+422.1464i
14456	45742.224-4902.425i
14488	34558.844-4519.5824i
14520	32487.174+1067.5571i
14552	29081.276+688.36845i
14584	25199.021-1435.0373i
14616	25257.799-1163.7087i
14648	21097.45+190.42683i
14680	20253.911-2615.6834i
14712	16352.641+5135.628i
14744	21320.589-3562.8461i
14776	17426.856+74.270157i
14808	17577.393+1184.2741i
14840	24876.822-195.14991i
14872	18772.11-1721.4094i
14904	22451.428+6960.3936i
14936	18955.073-6116.4081i
14968	23047.199+552.4977i
15000	21980.932-1364.7853i
15032	22396.318+990.1219i
15064	20320.303-492.90473i
15096	27150.904-722.26792i
15128	22217.583+2884.8704i
15160	26068.559-2870.857i
15192	21590.585+2196.5361i
15224	31056.038+1801.1885i
15256	25321.686+2942.772i
15288	29973.321+1969.7373i
15320	31999.65+1914.7706i
15352	30953.734-3204.6259i
15384	31192.405-1500.2885i
15416	30444.007+2513.7357i
15448	33778.376-346.71398i
15480	27999.678-260.8702i
15512	31079.954-1167.7635i
15544	31240.829-1947.6766i
15576	22349.481-1306.9082i
15608	27725.797-1471.8262i
15640	20827.377-1548.8951i
15672	27049.252-5622.363i
15704	17273.724-951.91092i
15736	13628.846-1933.7539i
15768	11555.271-5866.5748i
15800	14621.768+7010.5494i
15832	6418.3508+795.62221i
15864	12919.969+2178.6273i
15896	19090.653-101.48476i
15928	19980.986+538.84813i
15960	13556.196-323.91225i
15992	14018.369-4338.6496i
16024	19501.717-1735.9352i
16056	14911.785-1118.5897i
16088	12913.057+2880.0838i
16120	16912.214-2880.9937i
16152	18159.727-3126.0889i
16184	22746.101-4748.3186i
16216	20401.006+3731.2842i
16248	20934.196-1141.1516i
16280	18868.955-1389.5508i
16312	27139.998+2910.0209i
16344	22769.23+3263.4139i
16376	21732.373+1628.5279i
16408	18392.975-7080.6646i
16440	20191.088+5497.6676i
16472	23631.914-9530.1455i
16504	25558.563+914.08486i
16536	21661.932+4544.5977i
16568	28688.982+1916.9116i
16600	23753.734+841.5781i
16632	17775.708-712.09914i
16664	17434.689-5245.1842i
16696	14113.067+6785.8i
16728	20514.401-223.10107i
16760	15952.387-460.89918i
16792	13126.445-3092.6004i
16824	13806.148-1223.1703i
16856	13319.563-4032.3425i
16888	14707.489+8580.2825i
16920	12508.061-6818.5877i
16952	16372.841-1221.4424i
